id;Name;TECNOLOGIA;RAPIDEZ;ALTITUDE;TEMPO;rxlevel_4G;x_;y_
159;-100 4G;4G;7 km/h;904m;2023.08.22_10.39.31;-100;-44.2273935;-21.1048325
160;-97 4G;4G;16 km/h;904m;2023.08.22_10.39.35;-97;-44.2273878;-21.1049394
161;-102 4G;4G;20 km/h;904m;2023.08.22_10.39.37;-102;-44.2273912;-21.1050383
162;-100 4G;4G;13 km/h;904m;2023.08.22_10.39.40;-100;-44.2273931;-21.1051629
163;-99 4G;4G;25 km/h;905m;2023.08.22_10.39.43;-99;-44.2273963;-21.1053133
164;-98 4G;4G;32 km/h;905m;2023.08.22_10.39.45;-98;-44.2273997;-21.1054679
165;-100 4G;4G;35 km/h;905m;2023.08.22_10.39.47;-100;-44.2274019;-21.1056378
166;-99 4G;4G;36 km/h;905m;2023.08.22_10.39.48;-99;-44.2274027;-21.10573
167;-99 4G;4G;37 km/h;905m;2023.08.22_10.39.49;-99;-44.2274031;-21.1058256
168;-101 4G;4G;38 km/h;905m;2023.08.22_10.39.50;-101;-44.2274033;-21.1059215
169;-94 4G;4G;38 km/h;905m;2023.08.22_10.39.50;-94;-44.2274033;-21.1059215
170;-94 4G;4G;39 km/h;905m;2023.08.22_10.39.51;-94;-44.2274036;-21.1060215
171;-94 4G;4G;40 km/h;905m;2023.08.22_10.39.52;-94;-44.2274054;-21.1061234
172;-98 4G;4G;41 km/h;906m;2023.08.22_10.39.53;-98;-44.227407;-21.1062273
173;-98 4G;4G;41 km/h;906m;2023.08.22_10.39.54;-98;-44.2274097;-21.1063315
174;-102 4G;4G;40 km/h;906m;2023.08.22_10.39.55;-102;-44.2274124;-21.1064338
175;-89 4G;4G;40 km/h;906m;2023.08.22_10.39.55;-89;-44.2274124;-21.1064338
176;-89 4G;4G;39 km/h;906m;2023.08.22_10.39.56;-89;-44.2274146;-21.106534
177;-89 4G;4G;39 km/h;907m;2023.08.22_10.39.57;-89;-44.227417;-21.1066327
178;-91 4G;4G;39 km/h;907m;2023.08.22_10.39.58;-91;-44.2274189;-21.1067312
179;-91 4G;4G;39 km/h;908m;2023.08.22_10.39.59;-91;-44.2274204;-21.1068305
180;-94 4G;4G;39 km/h;908m;2023.08.22_10.40.00;-94;-44.2274216;-21.1069298
181;-94 4G;4G;39 km/h;909m;2023.08.22_10.40.01;-94;-44.2274233;-21.1070286
182;-94 4G;4G;37 km/h;908m;2023.08.22_10.40.02;-94;-44.2274306;-21.1071225
183;-96 4G;4G;37 km/h;909m;2023.08.22_10.40.03;-96;-44.2274311;-21.1072169
184;-96 4G;4G;37 km/h;909m;2023.08.22_10.40.04;-96;-44.2274308;-21.1073126
185;-99 4G;4G;37 km/h;910m;2023.08.22_10.40.05;-99;-44.2274293;-21.1074082
186;-99 4G;4G;36 km/h;910m;2023.08.22_10.40.06;-99;-44.2274297;-21.1075016
187;-99 4G;4G;36 km/h;911m;2023.08.22_10.40.07;-99;-44.2274312;-21.1075925
188;-91 4G;4G;29 km/h;912m;2023.08.22_10.40.09;-91;-44.2274352;-21.1077536
189;-95 4G;4G;18 km/h;912m;2023.08.22_10.40.11;-95;-44.2274409;-21.1078595
190;-94 4G;4G;23 km/h;913m;2023.08.22_10.40.14;-94;-44.227443;-21.1080049
191;-95 4G;4G;28 km/h;914m;2023.08.22_10.40.16;-95;-44.2274468;-21.1081408
192;-90 4G;4G;31 km/h;914m;2023.08.22_10.40.18;-90;-44.2274479;-21.108291
193;-93 4G;4G;32 km/h;914m;2023.08.22_10.40.20;-93;-44.2274475;-21.1084469
194;-94 4G;4G;34 km/h;913m;2023.08.22_10.40.22;-94;-44.2274474;-21.108622
195;-96 4G;4G;35 km/h;913m;2023.08.22_10.40.24;-96;-44.2274465;-21.1087983
196;-89 4G;4G;36 km/h;913m;2023.08.22_10.40.25;-89;-44.2274488;-21.1089784
197;-89 4G;4G;37 km/h;912m;2023.08.22_10.40.27;-89;-44.2274552;-21.1090729
198;-89 4G;4G;37 km/h;912m;2023.08.22_10.40.28;-89;-44.2274592;-21.1091666
199;-96 4G;4G;38 km/h;911m;2023.08.22_10.40.29;-96;-44.2274585;-21.1092631
200;-96 4G;4G;39 km/h;911m;2023.08.22_10.40.30;-96;-44.227457;-21.1093626
201;-87 4G;4G;39 km/h;911m;2023.08.22_10.40.31;-87;-44.2274571;-21.1094617
202;-87 4G;4G;39 km/h;911m;2023.08.22_10.40.32;-87;-44.2274595;-21.1095604
203;-92 4G;4G;38 km/h;910m;2023.08.22_10.40.33;-92;-44.227461;-21.1096593
204;-92 4G;4G;38 km/h;910m;2023.08.22_10.40.34;-92;-44.227474;-21.1097543
